2018-09-19,NES,Balloon Fight,Nintendo
2018-09-19,NES,Baseball,Nintendo
2018-09-19,NES,Donkey Kong,Nintendo
2018-09-19,NES,Double Dragon,Arc System Works
2018-09-19,NES,Dr. Mario,Nintendo
2018-09-19,NES,Excitebike,Nintendo
2018-09-19,NES,Ghosts 'n Goblins,Capcom
2018-09-19,NES,Gradius,Konami
2018-09-19,NES,Ice Climber,Nintendo
2018-09-19,NES,Ice Hockey,Nintendo
2018-09-19,NES,The Legend of Zelda,Nintendo
2018-09-19,NES,Mario Bros.,Nintendo
2018-09-19,NES,Pro Wrestling,Nintendo
2018-09-19,NES,River City Ransom,Arc System Works
2018-09-19,NES,Soccer,Nintendo
2018-09-19,NES,Super Mario Bros.,Nintendo
2018-09-19,NES,Super Mario Bros. 3,Nintendo
2018-09-19,NES,Tecmo Bowl,Koei Tecmo
2018-09-19,NES,Tennis,Nintendo
2018-09-19,NES,Yoshi,Nintendo
2018-10-10,NES,The Legend of Zelda,Nintendo
2018-10-10,NES,NES Open Tournament Golf,Nintendo
2018-10-10,NES,Solomon's Key,Koei Tecmo
2018-10-10,NES,Super Dodge Ball,Arc System Works
2018-11-14,NES,Gradius,Konami
2018-11-14,NES,Metroid,Nintendo
2018-11-14,NES,Mighty Bomb Jack,Koei Tecmo
2018-11-14,NES,NES Open Tournament Golf,Nintendo
2018-11-14,NES,TwinBee,Konami
2018-12-12,NES,Adventures of Lolo (NA),HAL Laboratory
2018-12-12,NES,Adventures of Lolo (JP),HAL Laboratory
2018-12-12,NES,Dr. Mario,Nintendo
2018-12-12,NES,Metroid,Nintendo
2018-12-12,NES,Ninja Gaiden,Koei Tecmo
2018-12-12,NES,Wario's Woods,Nintendo
2019-01-16,NES,Blaster Master,Sunsoft
2019-01-16,NES,Ghosts'n Goblins,Capcom
2019-01-16,NES,Joy Mech Fight,Nintendo
2019-01-16,NES,Ninja Gaiden,Koei Tecmo
2019-01-16,NES,Zelda II: The Adventure of Link,Nintendo
2019-02-13,NES,Blaster Master,Sunsoft
2019-02-13,NES,Kirby's Adventure,Nintendo
2019-02-13,NES,Metroid,Nintendo
2019-02-13,NES,Super Mario Bros. 2,Nintendo
2019-02-13,NES,Tsuppari Ōzumō,Koei Tecmo
2019-03-13,NES,Fire Emblem: Shadow Dragon and the Blade of Light,Nintendo
2019-03-13,NES,Kid Icarus,Nintendo
2019-03-13,NES,Kirby's Adventure,Nintendo
2019-03-13,NES,StarTropics,Nintendo
2019-03-13,NES,Yie Ar Kung-Fu,Konami
2019-03-13,NES,Zelda II: The Adventure of Link,Nintendo
2019-04-10,NES,Kid Icarus,Nintendo
2019-04-10,NES,Punch-Out!!,Nintendo
2019-04-10,NES,Star Soldier,Konami
2019-04-10,NES,Super Mario Bros.: The Lost Levels,Nintendo
2019-05-15,NES,Clu Clu Land,Nintendo
2019-05-15,NES,Clu Clu Land: Welcome to New Cluclu Land,Nintendo
2019-05-15,NES,Donkey Kong Jr.,Nintendo
2019-05-15,NES,Star Soldier,Konami
2019-05-15,NES,Vs. Excitebike,Nintendo
2019-06-12,NES,City Connection,City Connection
2019-06-12,NES,Double Dragon II: The Revenge,Arc System Works
2019-06-12,NES,TwinBee,Konami
2019-06-12,NES,Volleyball,Nintendo
2019-07-17,NES,Donkey Kong 3,Nintendo
2019-07-17,NES,Mighty Bomb Jack,Koei Tecmo
2019-07-17,NES,Wrecking Crew,Nintendo
2019-08-21,NES,Downtown Nekketsu March: Super-Awesome Field Day! ,Arc System Works
2019-08-21,NES,Gradius,Konami
2019-08-21,NES,Kung-Fu Heroes,Culture Brain
2019-08-21,NES,Vice: Project Doom,Sega
2019-12-12,NES,Crystalis,SNK
2019-12-12,NES,Famicom Wars,Nintendo
2019-12-12,NES,Journey to Silius,Sunsoft
2019-12-12,NES,Route-16 Turbo,Sunsoft
2020-02-19,NES,Eliminator Boat Duel,Piko Interactive
2020-02-19,NES,The Mystery of Atlantis,Sunsoft
2020-02-19,NES,Shadow of the Ninja,Natsume Inc.
2020-04-20,NES,Fire Emblem: Shadow Dragon and the Blade of Light,Nintendo
2020-04-20,NES,Fire Emblem: Shadow Dragon and the Blade of Light,Nintendo
2020-05-20,NES,Rygar,Koei Tecmo
2020-07-15,NES,The Immortal,Piko Interactive
2020-09-23,NES,S.C.A.T.: Special Cybernetic Attack Team,Natsume Inc.
2020-12-18,NES,Nightshade,Piko Interactive
2020-12-18,NES,Smash Ping Pong,Nintendo
2021-02-17,NES,Fire 'n Ice,Koei Tecmo
2021-05-26,NES,Ninja JaJaMaru-kun ,City Connection
2021-07-28,NES,Super Mario Bros. 3,Nintendo
2022-02-09,NES,EarthBound Beginnings,Nintendo
2022-03-30,NES,Dig Dug II,Bandai Namco Entertainment
2022-03-30,NES,Mappy-Land,Bandai Namco Entertainment
2022-05-26,NES,Pinball,Nintendo
2022-07-21,NES,Daiva Story 6: Imperial of Nirsartia,D4 Enterprise
2023-03-15,NES,Xevious,Bandai Namco Entertainment
2023-06-05,NES,Mystery Tower,Bandai Namco Entertainment
2023-10-31,NES,Devil World,Nintendo
2023-10-31,NES,The Mysterious Murasame Castle,Nintendo
2023-10-31,NES,Ninja JaJaMaru-kun,City Connection
2024-02-21,NES,R.C. Pro-Am,Xbox Game Studios
2024-02-21,NES,Snake Rattle 'n' Roll,Xbox Game Studios
2024-07-04,NES,Cobra Triangle,Xbox Game Studios
2024-07-04,NES,Donkey Kong Jr. Math,Nintendo
2024-07-04,NES,Famicom Mukashibanashi: Shin Onigashima,Nintendo
2024-07-04,NES,Golf,Nintendo
2024-07-04,NES,Gomoku Narabe Renju,Nintendo
2024-07-04,NES,Mach Rider,Nintendo
2024-07-04,NES,Mah-Jong,Nintendo
2024-07-04,NES,Solar Jetman,Xbox Game Studios
2024-07-04,NES,Urban Champion,Nintendo
2024-12-12,NES,Tetris,Nintendo
2025-11-26,NES,Battletoads,Xbox Game Studios
2025-11-26,NES,Ninja Gaiden II: The Dark Sword of Chaos,Koei Tecmo
2019-09-05,SNES,Brawl Brothers,City Connection
2019-09-05,SNES,Breath of Fire,Capcom
2019-09-05,SNES,Demon's Crest,Capcom
2019-09-05,SNES,F-Zero,Nintendo
2019-09-05,SNES,Joe & Mac 2: Lost in the Tropics,G-Mode
2019-09-05,SNES,Kirby's Dream Course,Nintendo
2019-09-05,SNES,Kirby's Dream Land 3,Nintendo
2019-09-05,SNES,The Legend of Zelda: A Link to the Past,Nintendo
2019-09-05,SNES,Pilotwings,Nintendo
2019-09-05,SNES,Smash Tennis,Bandai Namco Entertainment
2019-09-05,SNES,Star Fox,Nintendo
2019-09-05,SNES,Stunt Race FX,Nintendo
2019-09-05,SNES,Super E.D.F. Earth Defense Force,City Connection
2019-09-05,SNES,Super Ghouls 'n Ghosts,Capcom
2019-09-05,SNES,Super Mario Kart,Nintendo
2019-09-05,SNES,Super Mario World,Nintendo
2019-09-05,SNES,Super Mario World 2: Yoshi's Island,Nintendo
2019-09-05,SNES,Super Metroid,Nintendo
2019-09-05,SNES,Super Puyo Puyo 2,Sega
2019-09-05,SNES,Super Soccer,Spike Chunsoft
2019-09-05,SNES,Super Tennis,Nintendo
2019-12-12,SNES,Breath of Fire II,Capcom
2019-12-12,SNES,Kirby Super Star,Nintendo
2019-12-12,SNES,Star Fox 2,Nintendo
2019-12-12,SNES,Super Punch-Out!!,Nintendo
2020-02-19,SNES,Pop'n TwinBee,Konami
2020-05-20,SNES,Operation Logic Bomb,City Connection
2020-05-20,SNES,Panel de Pon,Nintendo
2020-05-20,SNES,Wild Guns,Natsume Inc.
2020-07-15,SNES,Donkey Kong Country,Nintendo
2020-07-15,SNES,Natsume Championship Wrestling,Natsume Inc.
2020-07-15,SNES,Shin Megami Tensei,Atlus
2020-09-03,SNES,Super Mario All-Stars,Nintendo
2020-09-23,SNES,Donkey Kong Country 2,Nintendo
2020-09-23,SNES,Fire Emblem: Mystery of the Emblem,Nintendo
2020-09-23,SNES,Mario's Super Picross,Nintendo
2020-09-23,SNES,The Peace Keepers,City Connection
2020-12-18,SNES,Amazing Hebereke,Sunsoft
2020-12-18,SNES,Donkey Kong Country 3,Nintendo
2020-12-18,SNES,The Ignition Factor,City Connection
2020-12-18,SNES,Kunio-kun no Dodgeball da yo Zen'in Shūgō!,Arc System Works
2020-12-18,SNES,Super Valis IV,Edia
2020-12-18,SNES,Tuff E Nuff,City Connection
2021-02-17,SNES,Doomsday Warrior,Edia
2021-02-17,SNES,Prehistorik Man,Interplay Entertainment
2021-02-17,SNES,Psycho Dream,Edia
2021-02-17,SNES,Shin Megami Tensei II,Atlus
2021-05-26,SNES,Fire Emblem: Genealogy of the Holy War,Nintendo
2021-05-26,SNES,Joe & Mac,G-Mode
2021-05-26,SNES,Magical Drop II,G-Mode
2021-05-26,SNES,Spanky's Quest,Natsume Inc.
2021-05-26,SNES,Super Baseball Simulator 1.000,Culture Brain
2021-05-26,SNES,Super Mario Kart,Nintendo
2021-07-28,SNES,Bombuzal,Throwback Entertainment
2021-07-28,SNES,Claymates,Interplay Entertainment
2021-07-28,SNES,Jelly Boy,Throwback Entertainment
2021-07-28,SNES,Shin Megami Tensei If…,Atlus
2022-02-09,SNES,EarthBound,Nintendo
2022-02-09,SNES,Super Metroid,Nintendo
2022-03-30,SNES,Earthworm Jim 2,Interplay Entertainment
2022-03-30,SNES,Harvest Moon,Natsume Inc.
2022-03-30,SNES,Super Mario World,Nintendo
2022-03-30,SNES,Super Punch-Out!!,Nintendo
2022-05-26,SNES,Congo's Caper,G-Mode
2022-05-26,SNES,Rival Turf!,City Connection
2022-05-26,SNES,Umihara Kawase,Studio Saizensen
2022-06-09,SNES,Kirby Super Star,Nintendo
2022-06-09,SNES,Kirby's Dream Course,Nintendo
2022-06-09,SNES,Kirby's Dream Land 3,Nintendo
2022-07-21,SNES,Fighter's History,G-Mode
2022-07-21,SNES,Kirby's Avalanche,Nintendo
2022-07-21,SNES,Kirby's Star Stacker,Nintendo
